date,workspace_id,model,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,request_count
2026-06-01,ws_eng,claude-3-5-sonnet-20241022,150000,42000,0,0,100
2026-06-02,ws_eng,claude-3-5-sonnet-20241022,148000,41500,0,0,99
2026-06-03,ws_eng,claude-3-5-sonnet-20241022,151000,42200,0,0,101
2026-06-04,ws_eng,claude-3-5-sonnet-20241022,149500,41800,0,0,100
2026-06-05,ws_eng,claude-3-5-sonnet-20241022,150500,42100,0,0,100
2026-06-06,ws_eng,claude-3-5-sonnet-20241022,149800,41900,0,0,99
2026-06-08,ws_eng,claude-3-5-sonnet-20241022,225000,63000,0,0,100
2026-06-09,ws_eng,claude-3-5-sonnet-20241022,222000,62500,0,0,99
2026-06-10,ws_eng,claude-3-5-sonnet-20241022,227000,63400,0,0,101
2026-06-11,ws_eng,claude-3-5-sonnet-20241022,224500,62800,0,0,100
2026-06-12,ws_eng,claude-3-5-sonnet-20241022,226000,63200,0,0,100
2026-06-13,ws_eng,claude-3-5-sonnet-20241022,223500,62700,0,0,99
2026-06-01,ws_eng,claude-3-5-haiku-20241022,90000,18000,0,0,75
2026-06-02,ws_eng,claude-3-5-haiku-20241022,91000,18200,0,0,76
2026-06-03,ws_eng,claude-3-5-haiku-20241022,89500,17900,0,0,74
2026-06-04,ws_eng,claude-3-5-haiku-20241022,90500,18100,0,0,75
2026-06-05,ws_eng,claude-3-5-haiku-20241022,90200,18050,0,0,75
2026-06-06,ws_eng,claude-3-5-haiku-20241022,89800,17950,0,0,74
2026-06-08,ws_eng,claude-3-5-haiku-20241022,91500,18300,0,0,76
2026-06-09,ws_eng,claude-3-5-haiku-20241022,88900,17850,0,0,74
2026-06-10,ws_eng,claude-3-5-haiku-20241022,90800,18150,0,0,75
2026-06-11,ws_eng,claude-3-5-haiku-20241022,90100,18000,0,0,75
2026-06-12,ws_eng,claude-3-5-haiku-20241022,89700,17920,0,0,75
2026-06-13,ws_eng,claude-3-5-haiku-20241022,90300,18080,0,0,75
